acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z
960, -764, 15748, 33, -231, 956
876, -796, 15840, 84, -215, 953
904, -748, 15832, 35, -211, 973
904, -672, 15812, 22, -197, 989
928, -764, 15896, -12, -213, 968
964, -760, 15960, -30, -154, 951
900, -776, 15760, -73, -148, 926
980, -744, 15968, -105, -127, 904
920, -724, 16044, -154, -111, 896
956, -808, 16004, -196, -93, 877
996, -744, 16000, -236, -87, 882
928, -708, 16096, -239, -100, 921
1016, -756, 15864, -261, -114, 928
808, -604, 15788, -243, -98, 951
992, -856, 15784, -265, -100, 972
900, -820, 15824, -248, -148, 979
824, -860, 15752, -244, -154, 1014
888, -864, 15872, -217, -225, 1010
876, -808, 15684, -223, -260, 1030
892, -828, 15728, -228, -274, 1036
940, -812, 15772, -227, -255, 1015
908, -720, 15824, -240, -237, 1023
792, -788, 15740, -249, -241, 1004
876, -856, 15696, -240, -211, 965
764, -808, 15720, -261, -192, 930
908, -920, 15688, -231, -199, 905
776, -780, 15816, -241, -187, 897
848, -756, 15808, -236, -160, 903
824, -828, 15900, -233, -176, 861
960, -776, 15900, -297, -159, 854
960, -840, 15848, -257, -149, 865
1016, -744, 15920, -289, -142, 860
936, -720, 15800, -267, -114, 901
980, -776, 15888, -279, -140, 874
984, -844, 15776, -216, -150, 925
892, -856, 15804, -144, -169, 967
904, -776, 15824, -133, -194, 997
1056, -828, 15860, -64, -209, 1033
964, -776, 15808, -34, -222, 1085
908, -740, 15976, -45, -240, 1084
760, -792, 15812, -49, -246, 1066
972, -832, 15856, -101, -229, 1059
960, -828, 15836, -117, -224, 1068
900, -808, 15816, -131, -198, 1052
840, -720, 15768, -117, -194, 1036
984, -760, 15844, -97, -168, 1015
892, -716, 16000, -130, -154, 1010
924, -724, 15924, -160, -147, 1010
852, -696, 15740, -215, -130, 998
840, -712, 15848, -247, -110, 999
932, -900, 15876, -270, -144, 983
904, -868, 15744, -270, -130, 967
900, -868, 15948, -247, -129, 961
932, -960, 15736, -228, -126, 993
940, -932, 15808, -207, -140, 1001
